year	pubAll	pubSame_speciesAll	pubDiff_speciesAll	pubSame_speciesMusMusculus	pubDiff_speciesMusMusculus	pubSame_speciesHomoSapiens	pubDiff_speciesHomoSapiens	pubSame_speciesMusMusculusHomoSapiens	pubDiff_speciesMusMusculusHomoSapiens
1781	69	0	0	0	0	0	0	0	0
1785	43	0	0	0	0	0	0	0	0
1786	60	0	0	0	0	0	0	0	0
1787	43	0	0	0	0	0	0	0	0
1788	33	0	0	0	0	0	0	0	0
1789	32	0	0	0	0	0	0	0	0
1790	45	0	0	0	0	0	0	0	0
1791	19	0	0	0	0	0	0	0	0
1792	33	0	0	0	0	0	0	0	0
1793	17	0	0	0	0	0	0	0	0
1794	18	0	0	0	0	0	0	0	0
1795	13	0	0	0	0	0	0	0	0
1796	20	0	0	0	0	0	0	0	0
1797	69	0	0	0	0	0	0	0	0
1798	19	0	0	0	0	0	0	0	0
1799	300	0	0	0	0	0	0	0	0
1800	387	0	0	0	0	0	0	0	0
1801	368	0	0	0	0	0	0	0	0
1802	291	0	0	0	0	0	0	0	0
1803	269	0	0	0	0	0	0	0	0
1804	304	0	0	0	0	0	0	0	0
1805	314	0	0	0	0	0	0	0	0
1806	282	0	0	0	0	0	0	0	0
1807	295	0	0	0	0	0	0	0	0
1808	289	0	0	0	0	0	0	0	0
1809	265	0	0	0	0	0	0	0	0
1810	267	1	0	0	0	1	0	1	0
1811	322	0	0	0	0	0	0	0	0
1812	239	0	0	0	0	0	0	0	0
1813	265	0	0	0	0	0	0	0	0
1814	285	0	0	0	0	0	0	0	0
1815	222	0	0	0	0	0	0	0	0
1816	315	0	0	0	0	0	0	0	0
1817	288	0	0	0	0	0	0	0	0
1818	279	0	0	0	0	0	0	0	0
1819	225	0	0	0	0	0	0	0	0
1820	213	0	0	0	0	0	0	0	0
1821	270	0	0	0	0	0	0	0	0
1822	247	0	0	0	0	0	0	0	0
1823	291	0	0	0	0	0	0	0	0
1824	269	0	0	0	0	0	0	0	0
1825	262	0	0	0	0	0	0	0	0
1826	385	0	0	0	0	0	0	0	0
1827	327	0	0	0	0	0	0	0	0
1828	409	0	0	0	0	0	0	0	0
1829	568	0	0	0	0	0	0	0	0
1830	510	0	0	0	0	0	0	0	0
1831	579	0	0	0	0	0	0	0	0
1832	285	0	0	0	0	0	0	0	0
1833	221	0	0	0	0	0	0	0	0
1834	209	1	0	0	0	1	0	1	0
1835	222	0	0	0	0	0	0	0	0
1836	220	0	0	0	0	0	0	0	0
1837	281	0	0	0	0	0	0	0	0
1838	265	0	0	0	0	0	0	0	0
1839	289	0	0	0	0	0	0	0	0
1840	388	0	0	0	0	0	0	0	0
1841	805	1	0	0	0	1	0	1	0
1842	972	1	0	0	0	1	0	1	0
1843	813	0	0	0	0	0	0	0	0
1844	609	0	0	0	0	0	0	0	0
1845	589	6	0	0	0	6	0	6	0
1846	561	0	0	0	0	0	0	0	0
1847	523	0	0	0	0	0	0	0	0
1848	501	2	0	0	0	2	0	2	0
1849	434	1	0	0	0	1	0	1	0
1850	463	0	0	0	0	0	0	0	0
1851	546	2	0	0	0	2	0	2	0
1852	527	1	0	0	0	1	0	1	0
1853	592	0	0	0	0	0	0	0	0
1854	428	1	0	0	0	1	0	1	0
1855	690	1	0	0	0	1	0	1	0
1856	629	0	0	0	0	0	0	0	0
1857	668	0	0	0	0	0	0	0	0
1858	716	0	0	0	0	0	0	0	0
1859	593	0	0	0	0	0	0	0	0
1860	719	0	0	0	0	0	0	0	0
1861	488	0	0	0	0	0	0	0	0
1862	462	0	0	0	0	0	0	0	0
1863	377	0	0	0	0	0	0	0	0
1864	521	0	0	0	0	0	0	0	0
1865	466	0	0	0	0	0	0	0	0
1866	792	0	0	0	0	0	0	0	0
1867	989	0	0	0	0	0	0	0	0
1868	1101	0	0	0	0	0	0	0	0
1869	1175	0	0	0	0	0	0	0	0
1870	1073	0	0	0	0	0	0	0	0
1871	1103	0	0	0	0	0	0	0	0
1872	1365	0	0	0	0	0	0	0	0
1873	1353	0	0	0	0	0	0	0	0
1874	1185	1	0	0	0	1	0	1	0
1875	1140	0	0	0	0	0	0	0	0
1876	1143	1	0	0	0	1	0	1	0
1877	1135	0	0	0	0	0	0	0	0
1878	1305	0	0	0	0	0	0	0	0
1879	1252	0	0	0	0	0	0	0	0
1880	1496	0	0	0	0	0	0	0	0
1881	1554	0	0	0	0	0	0	0	0
1882	1214	0	0	0	0	0	0	0	0
1883	1803	1	0	0	0	1	0	1	0
1884	1804	0	0	0	0	0	0	0	0
1885	2021	0	0	0	0	0	0	0	0
1886	2127	0	0	0	0	0	0	0	0
1887	2630	0	0	0	0	0	0	0	0
1888	2591	0	0	0	0	0	0	0	0
1889	3007	0	0	0	0	0	0	0	0
1890	2572	0	0	0	0	0	0	0	0
1891	2252	0	0	0	0	0	0	0	0
1892	2834	1	0	0	0	1	0	1	0
1893	3229	0	0	0	0	0	0	0	0
1894	2812	0	0	0	0	0	0	0	0
1895	3014	1	0	0	0	1	0	1	0
1896	3224	0	0	0	0	0	0	0	0
1897	3399	0	0	0	0	0	0	0	0
1898	3483	1	0	0	0	1	0	1	0
1899	3156	0	0	0	0	0	0	0	0
1900	3128	0	0	0	0	0	0	0	0
1901	3195	1	0	0	0	1	0	1	0
1902	3285	0	0	0	0	0	0	0	0
