2000	526346	6246	2289	906	396	4114	1336	5020	1732
2001	541272	6808	2446	1016	410	4595	1472	5611	1882
2002	567544	7469	2691	1186	443	4969	1602	6155	2045
2003	586170	8385	3053	1440	545	5553	1858	6993	2403
2004	620757	9777	3533	1642	594	6589	2240	8231	2834
2005	656987	11824	4293	2138	662	7920	2822	10058	3484
2006	687282	14160	4962	2608	820	9556	3307	12164	4127
2007	712625	17832	6091	3518	1104	11628	3974	15146	5078
2008	751436	28998	9746	6662	1994	18060	6192	24722	8186
2009	785315	46468	15309	11581	3550	28249	9461	39830	13011
2010	833422	58051	18463	14567	4172	35755	11546	50322	15718
2011	877401	68080	21739	16963	4808	42394	13878	59357	18686
2012	940900	85311	28045	21351	6249	52734	17865	74085	24114
2013	996632	98452	32667	23348	7180	62681	21103	86029	28283
2014	1044260	109072	36591	25769	7691	69724	24069	95493	31760
2015	1087259	123585	41722	27806	8552	81046	27805	108852	36357
2016	1113943	134503	45872	31139	9543	87956	30625	119095	40168
2017	1123788	154576	52882	34518	10928	102366	35243	136884	46171
2018	1170812	166690	56948	36782	11722	110809	37944	147591	49666
2019	1311209	180074	62071	36814	12041	122910	41999	159724	54040
