2019,90747,113556
2018,83991,106806
2017,78089,98526
2016,68862,87069
2015,61270,77119
2014,54182,68677
2013,48793,61531
2012,41998,52959
2011,34142,42973
2010,28013,35296
2009,23272,29757
2008,13947,18149
2007,8926,11572
2006,7067,9256
2005,5859,7703
2004,4677,6343
2003,3933,5280
2002,3652,4819
2001,3133,4138
2000,2788,3646
1999,2513,3319
1998,2120,2923
1997,1898,2418
1996,1521,1970
1995,1390,1694
1994,1227,1432
1993,1038,1175
1992,879,1001
1991,689,859
1990,555,737
1989,511,696
1988,336,545
1987,323,512
1986,213,399
1985,198,340
