2019,90747,113556,1311209
2018,83991,106806,1170812
2017,78089,98526,1123788
2016,68862,87069,1113943
2015,61270,77119,1087259
2014,54182,68677,1044260
2013,48793,61531,996632
2012,41998,52959,940900
2011,34142,42973,877401
2010,28013,35296,833422
2009,23272,29757,785315
2008,13947,18149,751436
2007,8926,11572,712625
2006,7067,9256,687282
2005,5859,7703,656987
2004,4677,6343,620757
2003,3933,5280,586170
2002,3652,4819,567544
2001,3133,4138,541272
2000,2788,3646,526346
1999,2513,3319,488176
1998,2120,2923,470863
1997,1898,2418,449087
1996,1521,1970,458013
1995,1390,1694,448342
1994,1227,1432,437907
1993,1038,1175,426213
1992,879,1001,417625
1991,689,859,412842
1990,555,737,410258
1989,511,696,402331
1988,336,545,386767
1987,323,512,367588
1986,213,399,349315
1985,198,340,335028
